order_number,method,status,amount,provider_reference,paid_at
ORD000389,wallet,failed,6733.78,PR-ORD000389,2026-07-14T02:36:26+00:00
ORD000390,cash,captured,8768.63,PR-ORD000390,2026-08-15T16:38:57+00:00
ORD000392,wallet,authorized,1256.78,PR-ORD000392,2025-06-01T13:20:12+00:00
ORD000393,wire,refunded,4628.10,PR-ORD000393,2025-01-15T04:17:46+00:00
ORD000394,wallet,captured,280.12,PR-ORD000394,2025-01-23T23:52:24+00:00
ORD000395,wire,captured,9438.48,PR-ORD000395,2025-04-02T17:29:05+00:00
ORD000396,wire,captured,1981.49,PR-ORD000396,2025-10-24T15:18:41+00:00
ORD000397,card,authorized,4419.96,PR-ORD000397,2025-06-11T07:45:29+00:00
ORD000398,cash,captured,1866.57,PR-ORD000398,2025-05-20T23:19:34+00:00
ORD000399,cash,failed,3620.51,PR-ORD000399,2025-06-09T03:44:47+00:00
ORD000400,wallet,captured,1781.58,PR-ORD000400,2026-06-14T10:51:38+00:00
ORD000401,wire,captured,13372.51,PR-ORD000401,2025-03-12T15:56:26+00:00
ORD000402,card,authorized,13560.91,PR-ORD000402,2025-10-22T11:37:23+00:00
ORD000403,card,authorized,6078.61,PR-ORD000403,2025-09-10T03:27:24+00:00
ORD000404,cash,authorized,3845.94,PR-ORD000404,2026-05-19T15:27:01+00:00
ORD000405,cash,captured,14250.64,PR-ORD000405,2025-10-06T01:42:28+00:00
ORD000406,cash,captured,125.97,PR-ORD000406,2025-04-02T15:34:58+00:00
ORD000407,cash,captured,10953.41,PR-ORD000407,2025-04-14T14:30:00+00:00
ORD000408,cash,authorized,2944.42,PR-ORD000408,2026-02-26T14:02:44+00:00
ORD000409,wire,captured,6354.08,PR-ORD000409,2026-07-02T04:40:36+00:00
ORD000410,wire,authorized,1624.58,PR-ORD000410,2025-04-14T17:52:57+00:00
ORD000411,cash,captured,3893.43,PR-ORD000411,2026-06-03T15:19:12+00:00
ORD000412,wire,pending,1238.66,PR-ORD000412,
ORD000413,bank_transfer,failed,8824.52,PR-ORD000413,2025-11-30T20:06:56+00:00
ORD000414,wallet,captured,4693.30,PR-ORD000414,2026-07-19T02:05:49+00:00
ORD000416,card,captured,5336.34,PR-ORD000416,2025-12-12T06:58:57+00:00
ORD000417,bank_transfer,failed,1811.52,PR-ORD000417,2025-07-03T13:18:40+00:00
ORD000418,wallet,captured,4856.20,PR-ORD000418,2026-04-16T05:48:52+00:00
ORD000420,card,captured,4986.16,PR-ORD000420,2025-07-07T00:12:37+00:00
ORD000421,card,authorized,5513.05,PR-ORD000421,2026-04-13T00:46:41+00:00
ORD000423,cash,authorized,4639.84,PR-ORD000423,2026-08-23T02:59:28+00:00
ORD000424,wallet,captured,12666.10,PR-ORD000424,2026-03-31T01:08:24+00:00
ORD000425,wallet,captured,9943.64,PR-ORD000425,2025-08-24T14:41:44+00:00
ORD000427,wallet,captured,2474.47,PR-ORD000427,2026-05-27T06:56:10+00:00
ORD000428,bank_transfer,captured,15129.00,PR-ORD000428,2025-05-01T15:16:50+00:00
ORD000429,wire,captured,2548.41,PR-ORD000429,2026-06-13T11:08:29+00:00
ORD000430,wire,captured,3402.07,PR-ORD000430,2025-02-23T00:37:43+00:00
ORD000431,wallet,authorized,5323.07,PR-ORD000431,2026-07-06T00:41:40+00:00
ORD000432,wallet,captured,4443.17,PR-ORD000432,2025-11-30T04:59:34+00:00
ORD000433,wire,captured,4229.21,PR-ORD000433,2025-10-13T11:21:20+00:00
ORD000434,wire,captured,597.50,PR-ORD000434,2025-06-04T22:54:03+00:00
ORD000435,wire,authorized,2438.45,PR-ORD000435,2025-02-17T23:01:37+00:00
ORD000436,card,captured,688.36,PR-ORD000436,2026-02-12T05:31:16+00:00
ORD000438,card,captured,1277.87,PR-ORD000438,2025-11-14T18:50:05+00:00
ORD000439,wire,authorized,4205.20,PR-ORD000439,2026-06-24T08:30:48+00:00
ORD000440,wire,authorized,3756.50,PR-ORD000440,2026-06-12T16:20:55+00:00
ORD000441,bank_transfer,authorized,2181.96,PR-ORD000441,2026-06-12T12:47:31+00:00
ORD000442,cash,captured,5918.46,PR-ORD000442,2025-04-21T17:53:30+00:00
ORD000443,card,captured,4107.48,PR-ORD000443,2025-12-10T21:30:50+00:00
ORD000444,wire,failed,2185.88,PR-ORD000444,2025-08-02T07:59:56+00:00
ORD000445,wallet,captured,951.22,PR-ORD000445,2025-10-09T11:30:48+00:00
ORD000447,card,captured,10586.45,PR-ORD000447,2026-05-10T07:29:54+00:00
ORD000448,wire,captured,17720.14,PR-ORD000448,2025-09-28T00:26:47+00:00
ORD000449,cash,captured,15327.64,PR-ORD000449,2025-06-06T15:34:57+00:00
ORD000450,wallet,captured,3088.69,PR-ORD000450,2025-09-21T02:29:44+00:00
ORD000451,bank_transfer,captured,1386.10,PR-ORD000451,2025-09-15T15:51:40+00:00
ORD000452,wire,captured,4514.73,PR-ORD000452,2026-06-01T00:29:41+00:00
ORD000453,wallet,captured,1399.20,PR-ORD000453,2025-12-07T05:24:01+00:00
ORD000454,cash,captured,16262.05,PR-ORD000454,2025-09-22T05:58:53+00:00
ORD000455,cash,captured,810.63,PR-ORD000455,2025-01-31T01:53:07+00:00
ORD000456,card,failed,7558.92,PR-ORD000456,2025-06-23T21:09:36+00:00
ORD000457,cash,authorized,2799.29,PR-ORD000457,2025-01-29T19:40:33+00:00
ORD000458,wire,authorized,6332.03,PR-ORD000458,2025-09-27T11:25:27+00:00
ORD000459,wire,captured,924.24,PR-ORD000459,2026-01-02T19:18:38+00:00
ORD000460,wire,authorized,4649.28,PR-ORD000460,2025-12-08T12:13:56+00:00
ORD000461,cash,captured,4883.60,PR-ORD000461,2026-05-24T04:59:40+00:00
ORD000462,bank_transfer,captured,11240.15,PR-ORD000462,2025-03-22T08:38:17+00:00
ORD000463,wallet,captured,5147.65,PR-ORD000463,2026-08-25T10:47:44+00:00
ORD000464,card,authorized,4542.72,PR-ORD000464,2025-10-02T14:04:35+00:00
ORD000465,bank_transfer,captured,457.44,PR-ORD000465,2025-10-11T15:26:10+00:00
ORD000466,wire,captured,6343.25,PR-ORD000466,2025-07-08T17:27:36+00:00
ORD000469,bank_transfer,failed,3618.10,PR-ORD000469,2025-04-15T15:55:29+00:00
ORD000470,wire,authorized,5238.24,PR-ORD000470,2026-06-30T17:22:51+00:00
ORD000473,bank_transfer,captured,13865.97,PR-ORD000473,2026-03-30T21:12:26+00:00
ORD000474,card,authorized,2996.00,PR-ORD000474,2025-05-13T08:52:19+00:00
ORD000475,wire,captured,831.32,PR-ORD000475,2025-10-27T10:54:31+00:00
ORD000477,wallet,captured,6575.40,PR-ORD000477,2025-01-08T01:30:18+00:00
ORD000478,wallet,captured,14589.09,PR-ORD000478,2025-02-22T06:45:33+00:00
ORD000479,wallet,pending,13695.00,PR-ORD000479,
ORD000480,wire,captured,3187.40,PR-ORD000480,2026-06-25T17:05:39+00:00
ORD000481,wallet,captured,6087.72,PR-ORD000481,2026-08-21T21:33:28+00:00
ORD000483,cash,captured,15061.72,PR-ORD000483,2025-10-01T19:07:08+00:00
ORD000485,bank_transfer,captured,5748.46,PR-ORD000485,2025-06-01T05:35:07+00:00
ORD000486,wallet,captured,2159.34,PR-ORD000486,2026-05-15T14:15:47+00:00
ORD000487,bank_transfer,authorized,2867.45,PR-ORD000487,2025-03-08T13:46:51+00:00
ORD000488,bank_transfer,captured,1467.87,PR-ORD000488,2025-04-20T01:28:17+00:00
ORD000489,card,failed,4659.84,PR-ORD000489,2025-09-23T00:42:18+00:00
ORD000490,wallet,captured,6668.95,PR-ORD000490,2025-12-08T09:34:47+00:00
ORD000491,card,captured,1024.45,PR-ORD000491,2026-01-15T22:20:38+00:00
ORD000492,wallet,failed,10268.78,PR-ORD000492,2026-01-19T08:48:03+00:00
ORD000493,wallet,captured,6693.77,PR-ORD000493,2025-03-07T12:38:07+00:00
ORD000494,card,captured,6471.59,PR-ORD000494,2026-04-05T02:16:25+00:00
ORD000495,cash,captured,477.95,PR-ORD000495,2026-06-12T07:41:54+00:00
ORD000496,card,captured,3657.77,PR-ORD000496,2026-04-14T21:43:23+00:00
ORD000497,wallet,captured,12178.01,PR-ORD000497,2025-06-01T13:16:38+00:00
ORD000498,cash,captured,8301.64,PR-ORD000498,2025-08-10T23:54:21+00:00
ORD000499,bank_transfer,authorized,1835.80,PR-ORD000499,2025-01-12T12:58:19+00:00
ORD000500,wallet,captured,377.85,PR-ORD000500,2026-03-31T12:40:44+00:00
ORD000501,bank_transfer,captured,8375.64,PR-ORD000501,2025-06-22T19:31:04+00:00
ORD000502,wallet,authorized,801.45,PR-ORD000502,2025-09-25T17:32:05+00:00
ORD000503,wallet,captured,2999.11,PR-ORD000503,2025-07-29T06:08:57+00:00
ORD000504,cash,captured,5149.65,PR-ORD000504,2026-06-07T16:30:45+00:00
ORD000505,wallet,captured,6964.40,PR-ORD000505,2025-03-21T21:29:11+00:00
ORD000506,wire,captured,12950.72,PR-ORD000506,2026-04-06T16:27:53+00:00
ORD000507,card,failed,5548.26,PR-ORD000507,2026-03-11T19:11:21+00:00
ORD000508,wire,captured,17507.46,PR-ORD000508,2026-03-31T08:41:19+00:00
ORD000509,wire,captured,4790.74,PR-ORD000509,2025-12-07T20:27:05+00:00
ORD000510,cash,captured,6553.44,PR-ORD000510,2025-08-07T18:00:27+00:00
ORD000511,wire,captured,13562.38,PR-ORD000511,2025-02-25T10:05:27+00:00
ORD000512,bank_transfer,captured,6449.12,PR-ORD000512,2025-03-21T03:55:39+00:00
ORD000513,wire,refunded,7127.80,PR-ORD000513,2025-10-14T15:33:42+00:00
ORD000514,cash,captured,9813.85,PR-ORD000514,2026-01-29T15:27:25+00:00
ORD000516,wallet,failed,7926.59,PR-ORD000516,2025-12-04T16:05:35+00:00
ORD000517,cash,captured,3749.29,PR-ORD000517,2026-02-24T11:30:54+00:00
ORD000518,wire,authorized,1144.88,PR-ORD000518,2025-01-12T18:35:34+00:00
ORD000519,card,captured,1843.88,PR-ORD000519,2026-02-22T04:15:39+00:00
ORD000520,bank_transfer,failed,4113.60,PR-ORD000520,2026-06-11T11:45:32+00:00
ORD000522,card,authorized,5905.31,PR-ORD000522,2025-04-08T12:05:55+00:00
ORD000523,wallet,refunded,9440.36,PR-ORD000523,2025-09-26T08:16:05+00:00
ORD000524,card,refunded,9218.13,PR-ORD000524,2025-03-11T07:30:08+00:00
ORD000525,wire,refunded,689.85,PR-ORD000525,2025-02-01T08:11:19+00:00
ORD000526,wire,captured,5613.37,PR-ORD000526,2025-11-03T04:37:14+00:00
ORD000527,wallet,captured,5131.43,PR-ORD000527,2026-01-11T13:31:17+00:00
ORD000528,wallet,captured,9580.81,PR-ORD000528,2025-09-05T22:05:17+00:00
ORD000529,cash,captured,7117.96,PR-ORD000529,2025-07-14T03:28:45+00:00
ORD000530,wallet,captured,426.16,PR-ORD000530,2026-03-05T17:38:10+00:00
ORD000531,card,captured,581.17,PR-ORD000531,2025-06-27T02:18:57+00:00
ORD000533,wallet,captured,2599.49,PR-ORD000533,2026-07-04T20:54:54+00:00
ORD000534,cash,failed,7869.91,PR-ORD000534,2026-06-20T09:37:52+00:00
ORD000535,cash,captured,2915.98,PR-ORD000535,2025-09-23T11:00:33+00:00
ORD000536,wallet,captured,689.68,PR-ORD000536,2025-08-15T17:36:08+00:00
ORD000537,wallet,pending,3888.65,PR-ORD000537,
ORD000538,wire,failed,2493.19,PR-ORD000538,2026-07-09T10:44:01+00:00
ORD000539,bank_transfer,captured,1834.12,PR-ORD000539,2025-05-04T03:52:37+00:00
ORD000540,wallet,captured,5002.14,PR-ORD000540,2025-03-08T02:20:34+00:00
ORD000541,wire,pending,9804.73,PR-ORD000541,
ORD000542,wallet,captured,1219.19,PR-ORD000542,2025-12-29T13:23:04+00:00
ORD000543,cash,failed,4699.30,PR-ORD000543,2026-05-10T01:40:56+00:00
ORD000544,bank_transfer,captured,2904.42,PR-ORD000544,2026-07-11T07:08:08+00:00
ORD000546,bank_transfer,captured,5290.68,PR-ORD000546,2025-07-21T10:22:53+00:00
ORD000547,wire,captured,2827.54,PR-ORD000547,2026-07-26T09:51:55+00:00
ORD000548,cash,captured,5409.09,PR-ORD000548,2025-01-22T00:21:18+00:00
ORD000549,bank_transfer,authorized,2453.42,PR-ORD000549,2026-04-18T07:54:19+00:00
ORD000550,wire,failed,10372.40,PR-ORD000550,2025-01-02T06:36:39+00:00
ORD000551,bank_transfer,captured,2268.37,PR-ORD000551,2025-04-02T13:48:36+00:00
ORD000552,cash,failed,10359.75,PR-ORD000552,2025-12-03T20:34:43+00:00
ORD000553,wire,captured,8631.09,PR-ORD000553,2025-01-06T18:54:40+00:00
ORD000555,wire,captured,8867.35,PR-ORD000555,2026-05-29T17:39:44+00:00
ORD000556,bank_transfer,captured,3417.22,PR-ORD000556,2025-01-03T05:30:45+00:00
ORD000557,bank_transfer,authorized,8860.50,PR-ORD000557,2025-02-10T07:56:10+00:00
ORD000558,card,failed,4558.91,PR-ORD000558,2026-05-29T09:33:21+00:00
ORD000561,wallet,captured,7121.30,PR-ORD000561,2025-07-30T19:58:45+00:00
ORD000563,wire,captured,10585.24,PR-ORD000563,2026-07-27T23:43:08+00:00
ORD000564,cash,failed,9996.33,PR-ORD000564,2025-05-04T07:08:22+00:00
ORD000565,card,authorized,1572.43,PR-ORD000565,2025-09-15T22:07:09+00:00
ORD000566,card,captured,10005.94,PR-ORD000566,2025-09-04T21:41:05+00:00
ORD000567,cash,captured,3608.77,PR-ORD000567,2026-01-20T16:22:13+00:00
ORD000568,card,captured,1284.29,PR-ORD000568,2025-06-22T07:20:52+00:00
ORD000569,cash,captured,5731.80,PR-ORD000569,2026-08-05T23:37:34+00:00
ORD000570,cash,captured,5823.58,PR-ORD000570,2025-07-12T07:56:48+00:00
ORD000571,bank_transfer,captured,1034.24,PR-ORD000571,2025-05-14T22:59:19+00:00
ORD000572,wire,captured,2455.45,PR-ORD000572,2025-01-30T22:12:34+00:00
ORD000573,card,refunded,3642.56,PR-ORD000573,2025-07-21T11:00:55+00:00
ORD000574,cash,authorized,1824.84,PR-ORD000574,2026-05-24T19:45:00+00:00
ORD000575,cash,failed,9093.87,PR-ORD000575,2025-02-28T03:22:11+00:00
ORD000576,wire,failed,2810.99,PR-ORD000576,2025-07-30T17:35:18+00:00
ORD000578,bank_transfer,captured,1576.67,PR-ORD000578,2025-07-21T22:54:02+00:00
ORD000579,card,captured,5642.26,PR-ORD000579,2025-03-23T22:28:49+00:00
ORD000580,bank_transfer,captured,6387.66,PR-ORD000580,2026-02-22T04:47:42+00:00
ORD000581,wire,captured,5474.98,PR-ORD000581,2026-03-12T20:09:01+00:00
ORD000582,wire,captured,1968.33,PR-ORD000582,2025-09-19T22:32:40+00:00
ORD000583,wire,captured,5365.19,PR-ORD000583,2026-05-16T16:34:05+00:00
ORD000584,cash,captured,6428.50,PR-ORD000584,2025-09-14T22:26:58+00:00
ORD000586,card,captured,6248.23,PR-ORD000586,2025-06-23T15:40:32+00:00
ORD000587,bank_transfer,captured,6922.48,PR-ORD000587,2026-04-14T12:00:18+00:00
ORD000588,bank_transfer,authorized,1102.04,PR-ORD000588,2025-07-14T00:39:31+00:00
ORD000589,card,failed,3877.33,PR-ORD000589,2026-04-03T17:35:42+00:00
ORD000590,card,captured,6505.37,PR-ORD000590,2025-10-20T22:16:30+00:00
ORD000591,wallet,failed,4335.53,PR-ORD000591,2026-02-17T03:17:51+00:00
ORD000592,cash,refunded,4497.33,PR-ORD000592,2026-02-12T10:50:47+00:00
ORD000593,cash,failed,9313.35,PR-ORD000593,2025-01-10T03:35:24+00:00
ORD000594,cash,authorized,10919.86,PR-ORD000594,2025-04-23T06:47:18+00:00
ORD000595,card,captured,8730.71,PR-ORD000595,2025-02-27T18:03:11+00:00
ORD000596,wire,refunded,12771.34,PR-ORD000596,2025-05-31T17:01:07+00:00
ORD000597,wallet,captured,2540.45,PR-ORD000597,2026-06-06T21:31:48+00:00
ORD000598,wallet,captured,3217.36,PR-ORD000598,2025-10-17T11:16:06+00:00
ORD000599,bank_transfer,captured,2896.49,PR-ORD000599,2025-10-23T04:33:01+00:00
ORD000600,cash,failed,1279.61,PR-ORD000600,2025-08-11T19:41:02+00:00
